numero_estacion,direccion
598,PALENQUE - CUMBRES DE MALTRATA
599,LA MORENA - ZEMPOALA
600,CUMBRES DE ACULTZINGO - AV. UNIVERSIDAD
601,NAVARRA - FERNANDO
602,CORRESPONDENCIA - EJE CENTRAL LÁZARO CÁRDENAS
603,CASTILLA - EJE 4 SUR XOLA
604,ANDALUCÍA - CARTEROS
605,5 DE FEBRERO - ALFONSO XIII
606,ALFONSO XIII - ARAGÓN
607,UNIÓN POSTAL - CALZADA DE TLALPAN
608,AHORRO POSTAL - FRANCISCO MÁRQUEZ
609,ROMERO - CALZADA DE TLALPAN
610,AV. VÍCTOR HUGO - AV. NIÑOS HÉROES DE CHAPULTEPEC
611,MIGUEL NEGRETE - NIÑOS HÉROES DE CHAPULTEPEC
612,TORRES ADALID - CUMBRES DE MALTRATA
613,LUZ SAVIÑÓN - DOCTOR JOSÉ MARÍA VERTIZ
614,TORRES ADALID - AV. CUAUHTÉMOC
615,TAJÍN - UNIVERSIDAD
616,PETÉN - EJE 5 SUR
617,MITLA - EJE 5 SUR
618,BARTOLOMÉ R. SALIDO - EDZNA
619,KIFF - RAFAEL SOLANA VERDUGUILLO
620,FERNANDO MONTES DE OCA - PRIV. LAGO
621,LAGO PONIENTE - CALZADA DE TLALPAN
622,FERNANDO MONTES DE OCA - EJE 6 SUR
623,FERNANDO MONTES DE OCA - ANTONIO RODRÍGUEZ
624,LUIS SPOTA - EJE CENTRAL LÁZARO CÁRDENAS
625,ZEMPOALA - ANGEL URRAZA
626,SAN BORJA - PETÉN
627,SAN BORJA - AV. UNIVERSIDAD
628,TENAYUCA - CHICHEN ITZÁ
629,TAJÍN - CHICHEN ITZÁ
630,CUICUILCO - MOTOZINTLA
631,MIGUEL LAURENT - EJE CENTRAL
632,VICTOR HUGO - SEVILLA
633,CANARIAS - CALZADA SANTA CRUZ
634,RUMANIA - VÍCTOR HUGO
635,CALZADA SANTA CRUZ - ANTILLAS
636,AJUSCO - ANTILLAS
637,AJUSCO - EMPERADORES
638,AV PIRINEOS - C. ANTILLAS
639,BULGARIA - RUMANIA
640,ODESA - BULGARIA
641,SEVILLA - AV. PRESIDENTES
642,REPÚBLICAS - MONROVIA
643,FILIPINAS - AV. PIRINEOS
644,MONROVIA - POPOCATÉPETL (EJE 8 SUR)
645,SARATOGA - AJUSCO
646,RUMANIA - AV. POPOCATÉPETL
647,ANTILLAS - NEVADO
648,RAFAEL OLIVIA - 20 DE AGOSTO
649,HÉROES DEL 47 - CALZADA DE TLALPAN
650,XICOTÉNCATL- PROLONGACIÓN XICOTÉNCATL
651,HÉROES DEL 47 - DIVISIÓN DEL NORTE
652,XICOTÉNCATL - DIVISIÓN DEL NORTE
653,LONDRES - DIVISIÓN DEL NORTE
654,LONDRES - SAN PEDRO
655,GOMEZ FARIAS - VIENA
656,IGNACIO ALLENDE - PARIS
657,MADRID - CENTENARIO
658,VICENTE GUERRERO - BERLÍN
659,MADRID - AVENIDA MEXICO
660,JOSEFA ORTIZ DE DOMINGUEZ - CIRCUITO INTERIOR
661,MADRID - UNIVERSIDAD
662,MANZANO - CIRCUITO INTERIOR
663,HORTENSIA - AVENIDA UNIVERSIDAD
664,HORTENSIA - 2DA CERRADA DE MINERVA
665,MORAS - MANGO
666,MORAS - NARANJO
667,HERMES - MOSQUETA
668,PLATEROS - CAPUCHINAS
669,LOS JUAREZ - SAGREDO
670,FELIX PARRA - FLAMENCOS
671,PLATEROS - JOSE MARÍA VELASCO
672,JOSÉ MARÍA VELASCO - DAMAS
673,MIGUEL NOREÑA - JOSÉ MARÍA IBARRARÁN
674,SILVESTRE REVUELTAS - MACEDONIO ALCALÁ
675,MANUEL CASTRO PADILLA - AV. REVOLUCIÓN
676,RICARDO PALMERÍN - ABUNDIO MARTÍNEZ
677,JUAN PABLO II - AV. DE LOS INSURGENTES SUR
678,FRANCIA - TECOYOTITLA
679,OLIVO - TECOYOTITLA
680,DIEGO BECERRA - AV. REVOLUCIÓN
681,GUTY CÁRDENAS - RICARDO CASTRO
682,MANUEL M. PONCE - FERNANDO M. VILLALPANDO
683,PEDRO LUIS OGAZÓN-INSURGENTES SUR
684,VITO ALESSIO ROBLES - TECOYOTITLA
685,AV DE LA PAZ - INSURGENTES
686,VITO ALESSIO ROBLES - UNIVERSIDAD
687,FRANCISCO SOSA - PANZACOLA
688,PANZACOLA - MIGUEL ÁNGEL DE QUEVEDO
689,G. PÉREZ VALENZUELA - SALVADOR NOVO
690,TATA VASCO - AV. MIGUEL ÁNGEL DE QUEVEDO
691,MELCHOR OCAMPO - DULCE OLIVIA
692,PRESIDENTE CARRANZA - FRANCISCO SOSA
693,XICOTÉNCATL - VICENTE GUERRERO
694,IGNACIO ALDAMA - CENTENARIO
695,MALINTZIN - ALLENDE
696,MÉXICO - MALINTZIN
697,FRANCISCO SOSA - TRES CRUCES
698,CERRADA ZAMORA - AV. MIGUEL ÁNGEL DE QUEVEDO
699,SAN GREGORIO - FELIPE CARRILLO PUERTO
700,ABASOLO - MIGUEL HIDALGO
701,CUAUHTÉMOC - MORELOS
702,FERNÁNDEZ LEAL - PLAZA DE LA CONCHITA
703,MIGUEL HIDALGO - CALZADA GENERAL ANAYA
704,PACÍFICO - ASIA
705,EUROPA - MIGUEL ÁNGEL DE QUEVEDO
706,CANADÁ - ACOLOTITLA
707,IRLANDA - DIVISIÓN DEL NORTE
708,IRLANDA-CANADA
709,INGLATERRA - ANTIGUA TAXQUEÑA
710,MOLINO DEL REY - GLORIETA DE LA LEALTAD
711,MOLINO DEL REY - AV. CONSTITUYENTES
