numero_estacion,direccion
154,TUXPAN-TLAXCALA
155,JALAPA-TLAXCALA
156,TEPIC-ARIO
157,TEPIC-TLACOTALPAN
158-159,HUATABAMPO-EJE 1 PTE. AV. CUAUHTÉMOC
160,ALFONSO HERRERA-GABINO BARREDA
161,QUINTANA ROO-MANZANILLO
162,TEHUANTEPEC-MEDELLÍN
163,TOLUCA-BAJÍO
164,BAJÍO-TLACOTALPAN
165,BAJÍO-EJE 2 PTE. MONTERREY
166,PROGRESO-CDA. ANTONIO MACEO
167,GENERAL SALVADOR ALVARADO-PROGRESO
168,COMERCIO-PROGRESO
169,PROSPERIDAD-PROGRESO
170,OBSERVATORIO ORIENTE-REVOLUCIÓN
171,COMERCIO-JOSE MARTÍ
172,GENERAL FRANCISCO MURGUÍA-JOSÉ MARTÍ
173,MINERÍA-JOSÉ MARTÍ
174,JOAQUÍN GARCIA ICAZBALCETA-IGNACIO MANUEL ALTAMIRANO
175,MUTUALISMO-JOSÉ MARTÍ
176,AV. JESÚS GARCÍA-LUIS DONALDO COLOSIO
177,BENJAMÍN HILL - CARLOS ZETINA
178,TAMAULIPAS-FRANCISCO MURGUÍA
179,NUEVO LEÓN-QUINTANA ROO
180,QUINTANA ROO-VILLAHERMOSA
181,BENJAMÍN FRANKLIN - OMETUSCO
182,PROGRESO-ASTRÓNOMOS
183,GABINO BARREDA-GUILLERMO PRIETO
184,GENERAL GÓMEZ PEDRAZA-GOBERNADOR TIBURCIO MONTIEL
185,GENERAL ANTONIO LÉON-GENERAL PEDRO ANTONIO DE LOS SANTOS
186,GOB. GREGORIO V. GELATI-GRAL. FRANCISCO MOLINOS DEL CAMPO
187,GENERAL CANO-GOBERNADOR GREGORIO V. GELATI
188,GOBERNADOR MELCHOR MÚZQUIZ-GOBERNADOR IGNACIO ESTEVA
189,GOBERNADOR RAFAEL REBOLLAR-GOBERNADOR JOSÉ CEBALLOS
190,GOBERNADOR IGNACIO ESTEVA-MAESTRO JOSÉ VASCONCELOS
191,GOBERNADOR RAFAEL REBOLLAR-GOBERNADOR VICENTE EGUÍA
192-193,RUBÉN DARÍO.REFORMA
194,CIRCUITO MAHATMA GANDHI-REFORMA
195,REFORMA-CIRCUITO MAHATMA GANDHI
196,LAGO TANGANICA- AV. EJÉRCITO NACIONAL
197,PRESA FALCÓN - MIGUEL DE CERVANTES SAAVEDRA
198,SÓCRATES-EJÉRCITO NACIONAL
199,ANATOLE FRANCE-AV. EJÉRCITO NACIONAL
200,EMERSON-AV. EJÉRCITO NACIONAL
201,LOPE DE VEGA-AV. EJÉRCITO NACIONAL
202,CALDERÓN DE LA BARCA-AV. HOMERO
203,TENNYSON-AV. HOMERO
204,TEMÍSTOCLES-HOMERO
205,TAINE-HOMERO
206,HOMERO-MOLIERE
207,TORQUATO TASSO-HOMERO
208,HESIODO-LAMARTINE
209,SOLÓN-HORACIO
210,EUGENIO SUE-HORACIO
211,ISAAC NEWTON-HORACIO
212,HEGEL-HORACIO
213,SOLÓN-CICERÓN
214,PLATÓN-HORACIO
215,EDGAR ALAN POE-HORACIO
216,ALEJANDRO DUMAS-HORACIO
217,EULER-HORACIO
218,HEGEL-IBARBOUROU
219,ESOPO-FC DE CUERNAVACA
220,PLINIO-PRESIDENTE MASARYK
221,EMILIO CASTELAR-PRESIDENTE MASARYK
222,ALEJANDRO DUMAS-PRESIDENTE MASARIK
223,ISAAC NEWTON-PRESIDENTE MASARYK
224,HEGEL-PRESIDENTE MASARYK
225,PETRARCA-PRESIDENTE MASARYK
226,WALLON-PRESIDENTE MASARYK
227,CAMPOS ELÍSEOS-PERIFÉRICO
228,CAMPOS ELÍSEOS-LA FONTAINE
229,CARLOS DICKENS-SÉNECA
230,EDGAR ALLAN POE - CARLOS DICKENS
231,ISAAC NEWTON-ARISTÓTELES
232,TAINE - RUBÉN DARÍO
233,JULIO VERNE-LUIS G. URBINA
234,TRES PICOS-ARQUÍMIDES
235-236,CAMPOS ELÍSEOS-MOLIERE
237-238,ANDRÉS BELLO-GEORGE ELIOT
239,RINCÓN DEL BOSQUE-RUBEN DARÍO
240,EJÉRCITO NACIONAL-F.C. DE CUERNAVACA
241,EJÉRCITO NACIONAL-JUAN VÁZQUEZ DE LA MELLA
242,PRÓL. MOLIERE-MIGUEL DE CERVANTES SAAVEDRA
243,LAGO FILT-MIGUEL DE CERVANTES SAAVEDRA
